epoch,train_loss,val_loss,val_macro_f1,val_macro_precision,val_macro_recall
1,1.1017981421379817,1.0967010259628296,0.28723694210760803,0.42351994126551235,0.36296113050371154
2,1.0950989683469137,1.0938860058784485,0.3012952392701936,0.4482712760192653,0.37589381481640255
3,1.0917453958874657,1.0908275842666626,0.3516768563010855,0.44410621627950125,0.3998692653975003
4,1.0901586339587257,1.0882656971613567,0.39380790807942523,0.4466977715470662,0.420522685118389
5,1.0888601342837017,1.0879435578982035,0.3825198991047755,0.4465844134149634,0.4158699818614449
