run_id,condition,seed,sample_id,rationale_precision_at_5,rationale_recall_at_5,rationale_f1_at_5
v2_15seed,A_B,182,1114610623072088064_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,1077642216363958278_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,18046807_gab,0.0,0.0,0.0
v2_15seed,A_B,182,18388078_gab,0.8,0.3333333333333333,0.47058823529411764
v2_15seed,A_B,182,1081753791911862273_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,1123697297467031558_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,24247856_gab,0.0,0.0,0.0
v2_15seed,A_B,182,24198545_gab,0.0,0.0,0.0
v2_15seed,A_B,182,1116973303661584384_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,8780029_gab,0.0,0.0,0.0
v2_15seed,A_B,182,24923292_gab,0.0,0.0,0.0
v2_15seed,A_B,182,20526500_gab,0.0,0.0,0.0
v2_15seed,A_B,182,1187124720208093184_twitter,0.2,1.0,0.33333333333333337
v2_15seed,A_B,182,20187632_gab,0.0,0.0,0.0
v2_15seed,A_B,182,1179008255948972035_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,1172772994697039872_twitter,0.4,0.4,0.4000000000000001
v2_15seed,A_B,182,1179105254484434944_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,18537046_gab,0.0,0.0,0.0
v2_15seed,A_B,182,12043182_gab,0.0,0.0,0.0
v2_15seed,A_B,182,1097835177055801350_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,21177346_gab,0.0,0.0,0.0
v2_15seed,A_B,182,1179093514635882496_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,24949183_gab,0.0,0.0,0.0
v2_15seed,A_B,182,15413395_gab,0.4,0.15384615384615385,0.2222222222222222
v2_15seed,A_B,182,1117597598666362881_twitter,0.0,0.0,0.0
v2_15seed,A_B,182,10722961_gab,0.0,0.0,0.0
v2_15seed,A_B,182,1179102559241244672_twitter,0.0,0.0,0.0
