epoch,train_loss,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,train_attention_loss,train_target_loss
1,1.0167900573639643,0.9059313575426737,0.5914684618980749,0.600260188467219,0.5975381153704253,0.0,0.0
2,0.8513723134994506,0.8600436270236969,0.643710286959318,0.6432288885279944,0.6479224080945826,0.0,0.0
3,0.7967286632174537,0.8455150365829468,0.6531604146797093,0.6526005836701207,0.6544923363276257,0.0,0.0
4,0.7566060520353771,0.8545403202374776,0.6562899810206925,0.655637839062399,0.6594588612526446,0.0,0.0
5,0.7345637162526448,0.8577449639638265,0.652637774955491,0.6535153117132215,0.657046406146265,0.0,0.0
