pos,neg,neu,compound
0.08,0.231,0.688,-0.7908
0.096,0.239,0.666,-0.714
0.0,0.071,0.929,-0.296
0.0,0.209,0.791,-0.5719
0.111,0.127,0.762,-0.1302
0.259,0.0,0.741,0.7669
0.0,0.151,0.849,-0.5994
0.067,0.046,0.888,0.1573
0.0,0.333,0.667,-0.5423
0.0,0.338,0.662,-0.6249
0.563,0.226,0.211,0.7506
0.107,0.219,0.674,-0.4588
0.165,0.076,0.759,0.4215
0.274,0.226,0.5,-0.0976
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.143,0.12,0.737,0.2354
0.096,0.0,0.904,0.2023
0.394,0.0,0.606,0.4215
0.0,0.485,0.515,-0.5719
0.082,0.226,0.692,-0.5106
0.0,0.505,0.495,-0.6249
0.0,0.198,0.802,-0.5719
0.153,0.173,0.674,-0.1838
0.0,0.0,1.0,0.0
0.137,0.225,0.638,-0.7501
0.0,0.153,0.847,-0.5574
0.0,0.323,0.677,-0.6486
0.425,0.05,0.525,0.9284
0.301,0.0,0.699,0.6808
0.0,0.437,0.563,-0.4767
0.177,0.104,0.719,0.6406
0.122,0.219,0.659,-0.3572
0.224,0.145,0.631,0.34
0.0,0.115,0.885,-0.296
0.093,0.283,0.625,-0.892
0.0,0.0,1.0,0.0
0.259,0.0,0.741,0.4215
0.0,0.15,0.85,-0.8122
0.076,0.571,0.353,-0.8555
0.079,0.415,0.506,-0.9485
0.257,0.171,0.571,0.2732
0.0,0.355,0.645,-0.9001
0.0,0.0,1.0,0.0
0.114,0.037,0.848,0.6344
0.0,0.281,0.719,-0.6486
0.149,0.0,0.851,0.6369
0.073,0.128,0.799,-0.5267
0.0,0.0,1.0,0.0
0.0,0.463,0.537,-0.8807
0.05,0.173,0.777,-0.7322
0.086,0.087,0.827,0.2449
0.138,0.302,0.56,-0.5859
0.0,0.0,1.0,0.0
0.04,0.31,0.65,-0.8658
0.0,0.163,0.837,-0.5709
0.0,0.156,0.844,-0.8447
0.0,0.352,0.648,-0.5859
0.178,0.399,0.423,-0.5709
0.208,0.074,0.718,0.6148
0.173,0.0,0.827,0.6705
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.256,0.744,-0.7035
0.142,0.0,0.858,0.631
0.077,0.086,0.837,-0.1027
0.0,0.863,0.137,-0.743
0.0,0.355,0.645,-0.6597
0.0,0.0,1.0,0.0
0.098,0.101,0.801,-0.0258
0.0,0.375,0.625,-0.4588
0.706,0.0,0.294,0.802
0.219,0.234,0.547,-0.4033
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.103,0.427,0.469,-0.7845
0.144,0.219,0.637,-0.2649
0.103,0.148,0.749,-0.4497
0.0,0.046,0.954,-0.1655
0.0,0.156,0.844,-0.743
0.0,0.0,1.0,0.0
0.118,0.129,0.753,-0.0772
0.057,0.0,0.943,0.25
0.0,0.213,0.787,-0.8555
0.0,0.364,0.636,-0.783
0.282,0.087,0.632,0.7506
0.0,0.2,0.8,-0.4588
0.0,0.0,1.0,0.0
