model,target,n_samples,macro_f1,macro_precision,macro_recall,accuracy
A_B,African,884,0.5686302931693694,0.5777077328801467,0.5675648598976362,0.6877828054298643
A_B,Arab,252,0.6165413000846063,0.6130445781608572,0.6223033538378152,0.6785714285714286
A_B,Asian,78,0.6385281385281386,0.6689080384732558,0.6259961685823755,0.6282051282051282
A_B,Bisexual,1,1.0,1.0,1.0,1.0
A_B,Caucasian,218,0.6054693357324936,0.6101270417422868,0.6118393279297535,0.6559633027522935
A_B,Christian,21,0.7242063492063493,0.7242063492063493,0.7242063492063493,0.7142857142857143
A_B,Disability,23,0.48641975308641966,0.7314814814814815,0.5333333333333333,0.5217391304347826
A_B,Economic,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
A_B,Heterosexual,14,0.6575091575091575,0.6388888888888888,0.6904761904761904,0.6428571428571429
A_B,Hindu,3,0.6666666666666666,0.75,0.75,0.6666666666666666
A_B,Hispanic,63,0.6105101649405447,0.6123737373737373,0.6091686091686092,0.7301587301587301
A_B,Homosexual,357,0.5744715600535938,0.5802279786783168,0.5712364041661863,0.5742296918767507
A_B,Indian,8,0.35714285714285715,0.38888888888888884,0.35555555555555557,0.5
A_B,Indigenous,4,0.2,0.16666666666666666,0.25,0.25
A_B,Islam,307,0.5549163817159926,0.5530644410594906,0.5586183396929186,0.5765472312703583
A_B,Jewish,240,0.5610141755880207,0.574124705703653,0.5589190797147398,0.7208333333333333
A_B,Men,64,0.4604118204531748,0.4601081812035159,0.46688034188034183,0.6875
A_B,None,740,0.3702564978506562,0.3723058329256712,0.47572745606453476,0.8027027027027027
A_B,Other,266,0.46767512503451875,0.4651247717589775,0.4712301587301588,0.6879699248120301
A_B,Refugee,94,0.46254263274820867,0.5652777777777778,0.4724319159101767,0.6063829787234043
A_B,Women,199,0.5458044084966421,0.5970573422548385,0.5224279835390946,0.6482412060301508
D_B,African,884,0.5994667394667396,0.6130094200560522,0.5941984008655004,0.7115384615384616
D_B,Arab,252,0.6107988022795324,0.6198698698698699,0.6043231560880243,0.6944444444444444
D_B,Asian,78,0.6599797365754813,0.6633551503817984,0.6574521072796934,0.6538461538461539
D_B,Bisexual,1,1.0,1.0,1.0,1.0
D_B,Caucasian,218,0.6511658456486042,0.6518613143395399,0.65782252617359,0.6834862385321101
D_B,Christian,21,0.6586080586080586,0.6583333333333333,0.6884920634920636,0.6666666666666666
D_B,Disability,23,0.41269841269841273,0.39035087719298245,0.4962962962962963,0.4782608695652174
D_B,Economic,3,1.0,1.0,1.0,1.0
D_B,Heterosexual,14,0.5833333333333334,0.5666666666666667,0.6428571428571429,0.5714285714285714
D_B,Hindu,3,1.0,1.0,1.0,1.0
D_B,Hispanic,63,0.6105101649405447,0.6123737373737373,0.6091686091686092,0.7301587301587301
D_B,Homosexual,357,0.5453459324427067,0.5522366306767922,0.5424443174469493,0.5406162464985994
D_B,Indian,8,0.2857142857142857,0.3333333333333333,0.2888888888888889,0.375
D_B,Indigenous,4,0.5,0.5,0.5,0.5
D_B,Islam,307,0.5743688880219461,0.577027673433785,0.5748849742434347,0.5993485342019544
D_B,Jewish,240,0.5631032547699214,0.5899523259740974,0.5502480240274091,0.725
D_B,Men,64,0.4962812711291413,0.5047329276538202,0.5138888888888888,0.734375
D_B,None,740,0.36902933216297273,0.3711957790540225,0.4761956208585422,0.8040540540540541
D_B,Other,266,0.45863850564923636,0.45912735603457255,0.4626322751322752,0.6804511278195489
D_B,Refugee,94,0.5601573580063484,0.6314655172413793,0.5579073100812231,0.6914893617021277
D_B,Women,199,0.6149740603889075,0.6603174603174603,0.5883370744481855,0.6934673366834171
