epoch,train_loss,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,train_attention_loss,train_target_loss
1,0.9740661053430466,0.8627776046593983,0.6376420003625055,0.6385424705458661,0.6381536277818539,0.0,0.0
2,0.8062837768168677,0.8529360751310985,0.6513317325216169,0.6496210259929772,0.6559307432478074,0.0,0.0
3,0.7291375821545011,0.8443278948465983,0.6625609456424406,0.6612196328990536,0.664480696606388,0.0,0.0
4,0.6636545428207943,0.8826517462730408,0.6541403511225324,0.6544737012371775,0.6614340367576848,0.0,0.0
5,0.6175175988957995,0.9015820662180583,0.6566542199243621,0.6579342591732625,0.6617698469711536,0.0,0.0
